-------------------------------------------------------------------------
data          czas      rozmiar  plik              opis
-------------------------------------------------------------------------
2017-09-14    23:59       36 kB  OPE033.txt        NOVO Globalnego Dochodu
2017-09-14    23:59      221 kB  SEB001.txt        NOVO Zrownowazonego Wzrostu
2017-09-14    23:59      222 kB  SEB002.txt        NOVO Obligacji Przedsiebiorstw
2017-09-14    23:59      220 kB  SEB003.txt        NOVO Akcji          
2017-09-14    23:59      208 kB  SEB004.txt        NOVO Stabilnego Wzrostu
2017-09-14    23:59      192 kB  SEB005.txt        NOVO Papierow Dluznych
2017-09-14    23:59      105 kB  SEB009.txt        NOVO Gotowkowy      
2017-09-14    23:59       87 kB  SEB017.txt        NOVO Aktywnej Alokacji
