AUD,20170911,2.8410,2.8410,2.8410,2.8410,0
BGN,20170911,2.1692,2.1692,2.1692,2.1692,0
BRL,20170911,1.1430,1.1430,1.1430,1.1430,0
CAD,20170911,2.9112,2.9112,2.9112,2.9112,0
CHF,20170911,3.7201,3.7201,3.7201,3.7201,0
CLP,20170911,0.5691,0.5691,0.5691,0.5691,0
CNY,20170911,0.5410,0.5410,0.5410,0.5410,0
CZK,20170911,0.1628,0.1628,0.1628,0.1628,0
DKK,20170911,0.5702,0.5702,0.5702,0.5702,0
EUR,20170911,4.2426,4.2426,4.2426,4.2426,0
GBP,20170911,4.6561,4.6561,4.6561,4.6561,0
HKD,20170911,0.4516,0.4516,0.4516,0.4516,0
HRK,20170911,0.5709,0.5709,0.5709,0.5709,0
HUF,20170911,1.3846,1.3846,1.3846,1.3846,0
IDR,20170911,2.6813,2.6813,2.6813,2.6813,0
ILS,20170911,1.0008,1.0008,1.0008,1.0008,0
INR,20170911,5.5242,5.5242,5.5242,5.5242,0
ISK,20170911,3.3301,3.3301,3.3301,3.3301,0
JPY,20170911,3.2549,3.2549,3.2549,3.2549,0
KRW,20170911,0.3119,0.3119,0.3119,0.3119,0
MXN,20170911,0.1994,0.1994,0.1994,0.1994,0
MYR,20170911,0.8410,0.8410,0.8410,0.8410,0
NOK,20170911,0.4542,0.4542,0.4542,0.4542,0
NZD,20170911,2.5699,2.5699,2.5699,2.5699,0
PHP,20170911,0.0694,0.0694,0.0694,0.0694,0
RON,20170911,0.9222,0.9222,0.9222,0.9222,0
RUB,20170911,0.0618,0.0618,0.0618,0.0618,0
SEK,20170911,0.4443,0.4443,0.4443,0.4443,0
SGD,20170911,2.6295,2.6295,2.6295,2.6295,0
THB,20170911,0.1065,0.1065,0.1065,0.1065,0
TRY,20170911,1.0382,1.0382,1.0382,1.0382,0
UAH,20170911,0.1357,0.1357,0.1357,0.1357,0
USD,20170911,3.5293,3.5293,3.5293,3.5293,0
XDR,20170911,5.0330,5.0330,5.0330,5.0330,0
ZAR,20170911,0.2737,0.2737,0.2737,0.2737,0
