-------------------------------------------------------------------------
data          czas      rozmiar  plik              opis
-------------------------------------------------------------------------
2017-09-08    23:59       36 kB  OPE033.txt        NOVO Globalnego Dochodu
2017-09-08    23:59      221 kB  SEB001.txt        NOVO Zrownowazonego Wzrostu
2017-09-08    23:59      222 kB  SEB002.txt        NOVO Obligacji Przedsiebiorstw
2017-09-08    23:59      220 kB  SEB003.txt        NOVO Akcji          
2017-09-08    23:59      207 kB  SEB004.txt        NOVO Stabilnego Wzrostu
2017-09-08    23:59      192 kB  SEB005.txt        NOVO Papierow Dluznych
2017-09-08    23:59      105 kB  SEB009.txt        NOVO Gotowkowy      
2017-09-08    23:59       87 kB  SEB017.txt        NOVO Aktywnej Alokacji
2017-09-08    23:59      232 kB  UI_001.txt        UNIKorona Pieniezny 
2017-09-08    23:59      206 kB  UI_002.txt        UNIKorona Obligacje 
2017-09-08    23:59      249 kB  UI_003.txt        UNIKorona Zrownowazony
2017-09-08    23:59      229 kB  UI_005.txt        UNIKorona Akcje     
2017-09-08    23:59      178 kB  UI_008.txt        UNIWIBID Plus       
2017-09-08    23:59      123 kB  UI_012.txt        UNIAkcje Nowa Europa
2017-09-08    23:59      113 kB  UI_017.txt        UNIObligacje Nowa Europa
2017-09-08    23:59      114 kB  UI_018.txt        UNIStabilny Wzrost  
2017-09-08    23:59      105 kB  UI_019.txt        UNIAkcje Wzrostu    
2017-09-08    23:59      105 kB  UI_021.txt        UNIAkcje Malych i Srednich Spolek
2017-09-08    23:59       73 kB  UI_025.txt        UNIObligacje Aktywny
2017-09-08    23:59       64 kB  UI_027.txt        UniLokata           
2017-09-08    23:59       45 kB  UI_029.txt        UniAkcje Turcja     
2017-09-08    23:59       49 kB  UI_030.txt        UniAkcje Dywidendowy
2017-09-08    23:59       31 kB  UI_036.txt        UNIAkcje: Daleki Wschod
2017-09-08    23:59       24 kB  UI_041.txt        UNIAkcje Globalny Dywidendowy
2017-09-08    23:59       23 kB  UI_042.txt        UNIAkcje Biopharma  
2017-09-08    23:59       20 kB  UI_044.txt        UNIAktywny Pieniezny
2017-09-07    23:59       61 kB  AGI004.txt        AGIO Kapital PLUS   
2017-09-07    23:59       19 kB  AGI043.txt        AGIO Stabilny PLUS  
2017-09-07    23:59       19 kB  AGI044.txt        AGIO Akcji PLUS     
2017-09-07    23:59       19 kB  AGI045.txt        AGIO Obligacji PLUS 
2017-09-07    23:59      112 kB  AIG001.txt        MetLife Obligacji Skarbowych
